0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:37:54 +0530] "POST /EV_Charging_Station_Finder/UserLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:37:55 +0530] "GET /EV_Charging_Station_Finder/menu3.jsp HTTP/1.1" 200 17229
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:37:58 +0530] "GET /EV_Charging_Station_Finder/UserLoginServlet?action2=UserRegistrationServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:37:58 +0530] "GET /EV_Charging_Station_Finder/UserRegistration.html HTTP/1.1" 200 18960
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:38:04 +0530] "GET /EV_Charging_Station_Finder/UserLoginServlet?action2=ViewStation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:38:04 +0530] "GET /EV_Charging_Station_Finder/ViewStation.jsp HTTP/1.1" 200 18312
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:38:10 +0530] "GET /EV_Charging_Station_Finder/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:38:21 +0530] "POST /EV_Charging_Station_Finder/LoginServlet HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:38:54 +0530] "GET /EV_Charging_Station_Finder/login.html HTTP/1.1" 200 17679
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:39:03 +0530] "POST /EV_Charging_Station_Finder/LoginServlet HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:39:46 +0530] "GET /EV_Charging_Station_Finder/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:39:55 +0530] "POST /EV_Charging_Station_Finder/LoginServlet HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:40:21 +0530] "GET /EV_Charging_Station_Finder/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:40:21 +0530] "GET /EV_Charging_Station_Finder/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:40:21 +0530] "GET /EV_Charging_Station_Finder/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:40:29 +0530] "POST /EV_Charging_Station_Finder/LoginServlet HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:40:43 +0530] "POST /EV_Charging_Station_Finder/LoginServlet HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:42:11 +0530] "GET /EV_Charging_Station_Finder/login.html HTTP/1.1" 200 17679
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:42:11 +0530] "GET /EV_Charging_Station_Finder/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:42:12 +0530] "GET /EV_Charging_Station_Finder/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:42:16 +0530] "GET /EV_Charging_Station_Finder/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:42:18 +0530] "GET /EV_Charging_Station_Finder/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:42:27 +0530] "POST /EV_Charging_Station_Finder/LoginServlet HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:44:57 +0530] "GET /EV_Charging_Station_Finder/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:44:57 +0530] "GET /EV_Charging_Station_Finder/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:45:01 +0530] "GET /EV_Charging_Station_Finder/login.html HTTP/1.1" 200 17677
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:45:10 +0530] "POST /EV_Charging_Station_Finder/LoginAdmin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:45:10 +0530] "GET /EV_Charging_Station_Finder/menu.jsp HTTP/1.1" 200 17346
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:45:16 +0530] "GET /EV_Charging_Station_Finder/LoginServlet?action=ViewAllStations HTTP/1.1" 500 3306
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:48:52 +0530] "GET /EV_Charging_Station_Finder/menu.jsp HTTP/1.1" 200 17340
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:48:52 +0530] "GET /EV_Charging_Station_Finder/menu.jsp HTTP/1.1" 200 17340
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:48:52 +0530] "GET /EV_Charging_Station_Finder/menu.jsp HTTP/1.1" 200 17340
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:48:53 +0530] "GET /EV_Charging_Station_Finder/menu.jsp HTTP/1.1" 200 17340
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:48:54 +0530] "GET /EV_Charging_Station_Finder/menu.jsp HTTP/1.1" 200 17340
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:48:56 +0530] "GET /EV_Charging_Station_Finder/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:48:56 +0530] "GET /EV_Charging_Station_Finder/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:48:59 +0530] "GET /EV_Charging_Station_Finder/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:49:06 +0530] "POST /EV_Charging_Station_Finder/LoginAdmin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:49:06 +0530] "GET /EV_Charging_Station_Finder/menu.jsp HTTP/1.1" 200 17340
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:49:09 +0530] "GET /EV_Charging_Station_Finder/LoginAdmin?action=ViewAllStations HTTP/1.1" 302 -
